session,visitor,dt,custno,category,event1,event2
3355599,385367,2017-12-31 18:20:15,63279,3,,8
412996,105618,2016-05-06 13:49:19,48859,2,,8
1503228,254961,2016-09-21 04:49:36,59771,2,1.0,1
2570942,79318,2016-02-23 22:56:45,47247,3,,8
212254,186563,2016-08-11 13:59:42,57284,3,,6
1909083,228019,2016-05-03 06:15:54,60309,3,,7
1104007,90303,2016-05-07 06:38:29,216,1,1.0,7
2437535,330488,2016-01-21 19:41:15,68583,3,,8
284435,140881,2016-12-29 20:36:50,64562,1,,4
1703392,438241,2017-12-07 18:12:43,22704,3,,6
1208682,202449,2017-08-26 14:05:21,24972,2,,1
2898929,474234,2016-11-03 08:19:08,10430,3,,4
1799606,334468,2016-10-22 12:15:48,36972,3,,10
756668,153515,2016-05-16 06:23:46,52653,3,,1
1187526,384786,2017-03-02 13:06:36,30909,3,,3
1282223,489339,2016-01-10 18:57:03,43850,3,,5
1349979,433556,2016-06-07 11:07:57,61915,2,,9
1359704,128341,2016-10-09 14:12:31,8308,3,,1
2191775,330538,2016-12-17 05:50:25,18202,3,,7
1143072,101354,2017-06-07 09:12:04,61455,3,,6
2560517,135099,2016-04-24 10:18:02,54441,3,,7
218096,26118,2016-03-27 09:55:26,48948,3,1.0,2
1502556,268483,2016-07-24 22:12:38,20968,1,,7
2727350,104530,2016-01-30 06:14:28,65907,2,1.0,1
2067254,336954,2017-01-09 07:57:58,4726,3,,3
2706619,229208,2016-04-03 15:05:06,44001,3,,4
914284,303605,2016-02-14 07:16:51,31725,2,,5
2570008,430336,2016-07-19 19:51:38,28188,3,2.0,7
106627,443512,2016-01-17 19:55:36,55173,3,,8
15897,404768,2016-12-26 08:48:44,12202,2,,9
945417,152,2016-06-21 18:01:52,44230,3,,7
2331471,399576,2017-09-04 19:47:18,35471,3,1.0,7
2682280,179838,2016-11-05 18:28:06,67578,3,,4
3740273,407203,2016-11-05 15:45:08,17188,3,,7
2018533,160697,2017-12-21 17:14:14,43483,3,,3
3108700,306625,2017-04-26 21:26:37,30707,3,,3
1010958,11739,2017-03-19 15:00:02,41831,3,,8
1082890,344172,2017-07-21 08:24:48,6885,1,,3
911820,76766,2017-08-05 14:20:11,9188,2,,5
250424,247680,2016-03-06 17:21:29,55803,3,,8
2187522,472335,2016-03-21 11:57:20,29351,3,,7
487669,380160,2016-01-08 21:49:32,67217,3,1.0,7
1909686,308794,2017-12-12 22:01:15,30108,3,,4
287069,156780,2016-11-21 20:54:36,17150,2,,7
2913550,441299,2016-12-26 09:40:37,5774,3,,8
2163338,194928,2016-11-29 14:13:25,68605,3,6.0,7
2172508,330154,2016-10-05 10:45:34,29281,3,,8
3504750,54017,2016-03-25 08:29:07,66289,3,11.0,7
106062,379642,2017-05-05 15:44:16,45745,3,,3
1033841,329227,2016-10-05 16:23:54,11115,3,,7
1433512,186194,2016-02-08 07:27:36,31723,3,,7
3406892,1718,2016-08-31 07:23:09,18561,3,1.0,7
2900087,396759,2017-11-30 19:55:33,7119,3,,7
677386,334297,2017-10-21 18:09:01,66331,3,,7
1781662,413243,2017-07-02 21:39:37,64740,3,,9
3666166,280521,2016-11-25 16:33:10,13709,3,,4
1907128,355138,2016-07-18 08:25:21,19215,3,,8
2818321,337696,2017-05-16 15:01:53,12878,3,2.0,7
513933,360611,2017-01-31 18:20:45,23292,2,,7
1012804,78276,2017-12-31 19:05:35,6397,3,,4
3523786,298036,2016-10-29 09:41:38,43104,3,,3
1332489,52241,2016-11-01 06:31:26,68244,3,,7
562161,356924,2017-04-19 21:43:07,47873,2,,4
3019007,335991,2016-12-31 20:29:55,58841,2,,4
2206336,354629,2016-08-29 11:28:32,37782,3,,8
2092926,129695,2016-06-05 06:48:10,44026,2,7.0,7
420368,368962,2016-01-03 10:02:20,41110,1,,7
2594132,434270,2016-08-05 07:41:00,50244,2,,4
3173569,254953,2017-11-09 13:44:59,71220,2,1.0,7
1415130,227774,2017-10-25 03:45:59,46592,3,,7
3310982,466736,2017-05-29 22:08:55,43540,3,,8
2024698,25893,2016-11-08 20:09:48,22966,3,2.0,7
3412410,290494,2017-04-10 20:10:55,25858,3,,7
251960,457104,2017-04-18 19:56:42,40132,3,,8
1218193,269415,2016-12-30 18:26:50,25819,1,,3
2142068,486404,2016-02-12 11:10:02,47072,3,,1
1929569,175,2017-01-07 08:07:55,55007,3,,4
942084,52389,2016-06-23 13:25:19,5551,3,,5
1684508,430734,2017-09-23 05:32:05,59414,3,,5
2892056,457974,2016-07-23 20:59:48,14112,3,,3
2521998,52389,2017-03-26 15:53:17,5551,3,7.0,7
132449,69560,2016-07-18 15:35:28,54809,3,,3
1354840,485369,2017-09-20 13:37:14,5999,2,5.0,7
3376681,319697,2016-02-26 13:07:38,5916,3,,8
327151,227601,2017-01-17 17:04:05,9623,3,,1
3642600,487100,2016-11-13 11:01:52,21653,3,,7
2714022,185521,2017-05-02 07:00:56,8954,3,,7
2088020,434366,2016-04-10 18:06:16,2194,2,,8
271937,490783,2016-04-02 14:43:54,61271,3,,3
1590518,88593,2017-01-16 07:03:03,61995,3,,7
219007,482534,2016-03-28 04:41:29,32974,3,,5
2395314,138229,2017-03-30 10:02:50,16518,3,,7
1164810,34939,2017-09-27 07:04:15,30675,3,6.0,7
277460,156660,2016-10-30 14:04:15,55352,2,2.0,7
90943,182311,2016-07-16 10:01:34,71105,3,,4
3464805,461835,2016-11-30 10:49:24,55462,3,11.0,7
3746950,435613,2016-12-19 12:05:55,55360,3,,7
3383189,236251,2017-09-05 23:10:41,56086,3,,7
1215483,310793,2017-08-05 08:53:21,11753,2,,9
1456196,483726,2016-12-19 13:55:36,27782,3,,7
2582418,312374,2016-05-17 09:11:22,8865,3,,8
2720448,464680,2016-05-15 11:23:13,15978,3,10.0,7
1842812,495236,2016-02-14 07:35:23,70904,1,,7
1919566,232803,2017-06-14 04:39:35,21435,3,,7
2307071,53493,2016-01-30 08:51:31,59365,3,,6
2038118,151964,2017-05-29 09:19:31,26057,2,1.0,2
809326,305539,2017-08-02 07:33:24,60117,3,6.0,7
1486424,405287,2017-07-07 15:35:52,28431,2,,4
3624926,172787,2017-05-03 07:24:37,52702,3,,9
1476844,412871,2017-11-30 20:01:30,68630,2,,3
122572,227774,2016-08-20 13:01:13,46592,3,,7
577449,269051,2016-11-05 10:08:51,34838,1,,7
800985,329188,2017-07-12 08:37:58,713,3,,8
98093,55103,2016-03-29 15:44:02,7413,2,7.0,1
1800923,27587,2016-08-06 15:33:21,47900,2,,1
3405244,253283,2016-06-20 08:15:47,63250,3,,3
606997,431614,2016-02-10 09:44:17,59459,3,,3
2700356,179144,2017-07-04 19:44:39,1392,3,,4
3236289,24148,2017-04-26 11:14:51,48389,3,11.0,7
2692509,291977,2017-11-27 11:32:51,70297,3,,7
3310150,461406,2016-12-07 13:27:48,63340,3,,3
1288646,431782,2016-12-05 10:30:43,28491,3,7.0,7
1327519,430664,2017-12-03 19:20:55,43770,3,,3
2012572,34974,2017-06-15 12:53:15,65311,3,,7
3578603,56868,2016-11-18 18:42:27,7633,3,,9
